measure_name,location_name,age_name,metric_name,year,val
Deaths,Global,20-24 years,Percent,1990,0.0609734996615397
Deaths,Global,20-24 years,Rate,1990,10.36831328450941
Deaths,Global,25-29 years,Percent,1990,0.0792427921107094
Deaths,Global,25-29 years,Rate,1990,15.058087080542476
Deaths,Global,30-34 years,Percent,1990,0.1121585905290627
Deaths,Global,30-34 years,Rate,1990,25.78369169795352
Deaths,Global,35-39 years,Percent,1990,0.1538876696932972
Deaths,Global,35-39 years,Rate,1990,45.53140271811622
Deaths,Global,40-44 years,Percent,1990,0.2066993905133543
Deaths,Global,40-44 years,Rate,1990,83.82895426318186
Deaths,Global,45-49 years,Percent,1990,0.2519834768726474
Deaths,Global,45-49 years,Rate,1990,145.67120931253604
Deaths,Global,50-54 years,Percent,1990,0.2959231382229694
Deaths,Global,50-54 years,Rate,1990,262.55637486171514
Deaths,Global,55-59 years,Percent,1990,0.3251270758357628
Deaths,Global,55-59 years,Rate,1990,423.7183216333143
Deaths,Global,60-64 years,Percent,1990,0.3559584260412248
Deaths,Global,60-64 years,Rate,1990,704.6457220640925
Deaths,Global,65-69 years,Percent,1990,0.3815071253107791
Deaths,Global,65-69 years,Rate,1990,1106.1500408542065
Deaths,Global,70-74 years,Percent,1990,0.4006957830907102
Deaths,Global,70-74 years,Rate,1990,1821.47267620138
Deaths,Global,75-79 years,Percent,1990,0.4486927188550207
Deaths,Global,75-79 years,Rate,1990,3088.302491227444
Deaths,Global,All ages,Percent,1990,0.2587537075855962
Deaths,Global,All ages,Rate,1990,225.58437562561863
Deaths,Global,80-84,Percent,1990,0.4766949190755571
Deaths,Global,80-84,Rate,1990,5084.723726998528
Deaths,Global,85-89,Percent,1990,0.5023744592413342
Deaths,Global,85-89,Rate,1990,7991.5619451645825
Deaths,Global,90-94,Percent,1990,0.527450067240401
Deaths,Global,90-94,Rate,1990,11785.783109497452
Deaths,Global,10-19 years,Percent,1990,0.0436021409788897
Deaths,Global,10-19 years,Rate,1990,4.647795945504205
Deaths,Global,0-9 years,Percent,1990,0.0070755809910225
Deaths,Global,0-9 years,Rate,1990,7.44071319141071
Deaths,Global,95+ years,Percent,1990,0.5453084783662174
Deaths,Global,95+ years,Rate,1990,17827.021335409772
Deaths,High-income,20-24 years,Percent,1991,0.0507515817375195
Deaths,High-income,20-24 years,Rate,1991,4.393096039003737
Deaths,High-income,25-29 years,Percent,1991,0.0723170875771069
Deaths,High-income,25-29 years,Rate,1991,7.017226259639775
Deaths,High-income,30-34 years,Percent,1991,0.1045360849708016
Deaths,High-income,30-34 years,Rate,1991,12.505442490667011
Deaths,High-income,35-39 years,Percent,1991,0.152483138120756
Deaths,High-income,35-39 years,Rate,1991,23.632632333408377
Deaths,High-income,40-44 years,Percent,1991,0.206302133340565
Deaths,High-income,40-44 years,Rate,1991,43.89607721886164
Deaths,High-income,45-49 years,Percent,1991,0.2498423989683852
Deaths,High-income,45-49 years,Rate,1991,82.10332862212374
Deaths,High-income,50-54 years,Percent,1991,0.2788237477837825
Deaths,High-income,50-54 years,Rate,1991,141.44443635528518
Deaths,High-income,55-59 years,Percent,1991,0.3033795686184743
Deaths,High-income,55-59 years,Rate,1991,242.85431707995943
Deaths,High-income,60-64 years,Percent,1991,0.338245065487065
Deaths,High-income,60-64 years,Rate,1991,428.1730202147142
Deaths,High-income,65-69 years,Percent,1991,0.3716922589640254
Deaths,High-income,65-69 years,Rate,1991,718.0130804061052
Deaths,High-income,70-74 years,Percent,1991,0.4143445449328283
Deaths,High-income,70-74 years,Rate,1991,1261.7032113684484
Deaths,High-income,75-79 years,Percent,1991,0.4586022769493628
Deaths,High-income,75-79 years,Rate,1991,2277.6888501335056
Deaths,High-income,All ages,Percent,1991,0.4098217411942302
Deaths,High-income,All ages,Rate,1991,346.4488379821947
Deaths,High-income,80-84,Percent,1991,0.4993477073298625
Deaths,High-income,80-84,Rate,1991,4067.810660860757
Deaths,High-income,85-89,Percent,1991,0.5171990223873473
Deaths,High-income,85-89,Rate,1991,6726.922515781535
Deaths,High-income,90-94,Percent,1991,0.5382739993262733
Deaths,High-income,90-94,Rate,1991,10573.485009158823
Deaths,High-income,10-19 years,Percent,1991,0.0468693083324319
Deaths,High-income,10-19 years,Rate,1991,2.091182054468996
Deaths,High-income,0-9 years,Percent,1991,0.0194272606912209
Deaths,High-income,0-9 years,Rate,1991,2.296063534088605
Deaths,High-income,95+ years,Percent,1991,0.5552630083162549
Deaths,High-income,95+ years,Rate,1991,16953.642762854433
Deaths,Germany,20-24 years,Percent,1991,0.0692236824139497
Deaths,Germany,20-24 years,Rate,1991,5.304435689019177
Deaths,Germany,25-29 years,Percent,1991,0.0991188617699334
Deaths,Germany,25-29 years,Rate,1991,7.975225295515101
Deaths,Germany,30-34 years,Percent,1991,0.1375914681670602
Deaths,Germany,30-34 years,Rate,1991,14.46969042978479
Deaths,Germany,35-39 years,Percent,1991,0.1845990372833968
Deaths,Germany,35-39 years,Rate,1991,28.2377350646038
Deaths,Germany,40-44 years,Percent,1991,0.2231634390266931
Deaths,Germany,40-44 years,Rate,1991,49.02654342782505
Deaths,Germany,45-49 years,Percent,1991,0.253592981094999
Deaths,Germany,45-49 years,Rate,1991,94.10459077225644
Deaths,Germany,50-54 years,Percent,1991,0.2877654085017052
Deaths,Germany,50-54 years,Rate,1991,157.58887881389498
Deaths,Germany,55-59 years,Percent,1991,0.3369044327246897
Deaths,Germany,55-59 years,Rate,1991,289.58864624572504
Deaths,Germany,60-64 years,Percent,1991,0.3925451103698945
Deaths,Germany,60-64 years,Rate,1991,547.9740093437584
Deaths,Germany,65-69 years,Percent,1991,0.4333701319133705
Deaths,Germany,65-69 years,Rate,1991,892.9263673553354
Deaths,Germany,70-74 years,Percent,1991,0.4867489830295012
Deaths,Germany,70-74 years,Rate,1991,1487.1916064060156
Deaths,Germany,75-79 years,Percent,1991,0.5470680108579459
Deaths,Germany,75-79 years,Rate,1991,3210.956477482564
Deaths,Germany,All ages,Percent,1991,0.4936667254718388
Deaths,Germany,All ages,Rate,1991,548.0384605041683
Deaths,Germany,80-84,Percent,1991,0.5839921344652113
Deaths,Germany,80-84,Rate,1991,5512.002599468745
Deaths,Germany,85-89,Percent,1991,0.6006577602474096
Deaths,Germany,85-89,Rate,1991,8678.168806992675
Deaths,Germany,90-94,Percent,1991,0.6116950422101202
Deaths,Germany,90-94,Rate,1991,13984.536030596806
Deaths,Germany,10-19 years,Percent,1991,0.0542468778877924
Deaths,Germany,10-19 years,Rate,1991,2.0711647478770554
Deaths,Germany,0-9 years,Percent,1991,0.014147443263184
Deaths,Germany,0-9 years,Rate,1991,1.2433437810971035
Deaths,Germany,95+ years,Percent,1991,0.6264886210150129
Deaths,Germany,95+ years,Rate,1991,22416.34189940309
