Country Name,Country Code,Series Name,Year,Value
Australia,AUS,HEALTHEXP,1971,212.545
Australia,AUS,HEALTHEXP,1972,226.524
Australia,AUS,HEALTHEXP,1973,251.085
Australia,AUS,HEALTHEXP,1974,306.927
Australia,AUS,HEALTHEXP,1975,374.393
Australia,AUS,HEALTHEXP,1976,406.043
Australia,AUS,HEALTHEXP,1977,450.142
Australia,AUS,HEALTHEXP,1978,483.297
Australia,AUS,HEALTHEXP,1979,526.757
Australia,AUS,HEALTHEXP,1980,592.397
Australia,AUS,HEALTHEXP,1981,668.212
Australia,AUS,HEALTHEXP,1982,705.505
Australia,AUS,HEALTHEXP,1983,757.41
Australia,AUS,HEALTHEXP,1984,803.836
Australia,AUS,HEALTHEXP,1985,855.498
Australia,AUS,HEALTHEXP,1986,904.542
Australia,AUS,HEALTHEXP,1987,952.647
Australia,AUS,HEALTHEXP,1988,1027.927
Australia,AUS,HEALTHEXP,1989,1097.364
Australia,AUS,HEALTHEXP,1990,1166.26
Australia,AUS,HEALTHEXP,1991,1234.372
Australia,AUS,HEALTHEXP,1992,1305.536
Australia,AUS,HEALTHEXP,1993,1373.205
Australia,AUS,HEALTHEXP,1994,1454.566
Australia,AUS,HEALTHEXP,1995,1537.471
Australia,AUS,HEALTHEXP,1996,1642.967
Australia,AUS,HEALTHEXP,1997,1727.783
Australia,AUS,HEALTHEXP,1998,1839.209
Australia,AUS,HEALTHEXP,1999,1956.897
Australia,AUS,HEALTHEXP,2000,2153.292
Australia,AUS,HEALTHEXP,2001,2290.69
Australia,AUS,HEALTHEXP,2002,2481.046
Australia,AUS,HEALTHEXP,2003,2578.709
Australia,AUS,HEALTHEXP,2004,2818.137
Australia,AUS,HEALTHEXP,2005,2872.44
Australia,AUS,HEALTHEXP,2006,2996.396
Australia,AUS,HEALTHEXP,2007,3199.837
Australia,AUS,HEALTHEXP,2008,3350.144
Australia,AUS,HEALTHEXP,2009,3417.833
Australia,AUS,HEALTHEXP,2010,3593.395
Australia,AUS,HEALTHEXP,2011,3809.112
Australia,AUS,HEALTHEXP,2012,3854.19
Australia,AUS,HEALTHEXP,2013,4087.849
Australia,AUS,HEALTHEXP,2014,4556.492
Australia,AUS,HEALTHEXP,2015,4776.158
Australia,AUS,HEALTHEXP,2016,5037.266
Australia,AUS,HEALTHEXP,2017,5074.653
Australia,AUS,HEALTHEXP,2018,5190.886
Australia,AUS,HEALTHEXP,2019,5126.653
Australia,AUS,HEALTHEXP,2020,5692.402
Australia,AUS,HEALTHEXP,2021,6225.535
Australia,AUS,HEALTHEXP,2022,6372.027
Austria,AUT,HEALTHEXP,1970,173.391
Austria,AUT,HEALTHEXP,1971,189.271
Austria,AUT,HEALTHEXP,1972,209.236
Austria,AUT,HEALTHEXP,1973,237.846
Austria,AUT,HEALTHEXP,1974,283.17
Austria,AUT,HEALTHEXP,1975,387.066
Austria,AUT,HEALTHEXP,1976,439.489
Austria,AUT,HEALTHEXP,1977,486.171
Austria,AUT,HEALTHEXP,1978,545.92
Austria,AUT,HEALTHEXP,1979,624.629
Austria,AUT,HEALTHEXP,1980,710.874
Austria,AUT,HEALTHEXP,1981,659.718
Austria,AUT,HEALTHEXP,1982,704.081
Austria,AUT,HEALTHEXP,1983,736.373
Austria,AUT,HEALTHEXP,1984,770.301
Austria,AUT,HEALTHEXP,1985,828.948
Austria,AUT,HEALTHEXP,1986,889.349
Austria,AUT,HEALTHEXP,1987,982.732
Austria,AUT,HEALTHEXP,1988,1051.142
Austria,AUT,HEALTHEXP,1989,1162.766
Austria,AUT,HEALTHEXP,1990,1482.281
Austria,AUT,HEALTHEXP,1991,1585.776
Austria,AUT,HEALTHEXP,1992,1706.858
Austria,AUT,HEALTHEXP,1993,1849.904
Austria,AUT,HEALTHEXP,1994,2017.289
Austria,AUT,HEALTHEXP,1995,2086.13
Austria,AUT,HEALTHEXP,1996,2160.519
Austria,AUT,HEALTHEXP,1997,2265.214
Austria,AUT,HEALTHEXP,1998,2428.152
Austria,AUT,HEALTHEXP,1999,2569.344
Austria,AUT,HEALTHEXP,2000,2803.905
Austria,AUT,HEALTHEXP,2001,2859.074
Austria,AUT,HEALTHEXP,2002,3101.021
Austria,AUT,HEALTHEXP,2003,3198.001
Austria,AUT,HEALTHEXP,2004,3410.974
Austria,AUT,HEALTHEXP,2005,3475.868
Austria,AUT,HEALTHEXP,2006,3634.95
Austria,AUT,HEALTHEXP,2007,3795.642
Austria,AUT,HEALTHEXP,2008,4009.307
Austria,AUT,HEALTHEXP,2009,4090.209
Austria,AUT,HEALTHEXP,2010,4258.99
Austria,AUT,HEALTHEXP,2011,4345.158
Austria,AUT,HEALTHEXP,2012,4588.344
Austria,AUT,HEALTHEXP,2013,4767.083
Austria,AUT,HEALTHEXP,2014,4858.332
Austria,AUT,HEALTHEXP,2015,4943.516
Austria,AUT,HEALTHEXP,2016,5195.532
Austria,AUT,HEALTHEXP,2017,5315.355
