Country Name,Country Code,Series Name,Year,Value
Australia,AUS,HOSPITALBED,1991,4.92
Australia,AUS,HOSPITALBED,1992,4.65
Australia,AUS,HOSPITALBED,1993,4.68
Australia,AUS,HOSPITALBED,1994,4.59
Australia,AUS,HOSPITALBED,1995,4.58
Australia,AUS,HOSPITALBED,1996,4.38
Australia,AUS,HOSPITALBED,1997,4.28
Australia,AUS,HOSPITALBED,1998,4.17
Australia,AUS,HOSPITALBED,1999,4.07
Australia,AUS,HOSPITALBED,2000,4.04
Australia,AUS,HOSPITALBED,2001,3.95
Australia,AUS,HOSPITALBED,2002,3.93
Australia,AUS,HOSPITALBED,2003,3.97
Australia,AUS,HOSPITALBED,2004,4.0
Australia,AUS,HOSPITALBED,2005,3.9
Australia,AUS,HOSPITALBED,2006,3.93
Australia,AUS,HOSPITALBED,2008,3.82
Australia,AUS,HOSPITALBED,2009,3.77
Australia,AUS,HOSPITALBED,2010,3.78
Australia,AUS,HOSPITALBED,2011,3.79
Australia,AUS,HOSPITALBED,2012,3.75
Australia,AUS,HOSPITALBED,2013,3.74
Australia,AUS,HOSPITALBED,2014,3.79
Australia,AUS,HOSPITALBED,2015,3.82
Australia,AUS,HOSPITALBED,2016,3.84
Austria,AUT,HOSPITALBED,1991,9.05
Austria,AUT,HOSPITALBED,1992,8.83
Austria,AUT,HOSPITALBED,1993,8.69
Austria,AUT,HOSPITALBED,1994,8.6
Austria,AUT,HOSPITALBED,1995,8.54
Austria,AUT,HOSPITALBED,1996,8.44
Austria,AUT,HOSPITALBED,1997,8.34
Austria,AUT,HOSPITALBED,1998,8.2
Austria,AUT,HOSPITALBED,1999,8.09
Austria,AUT,HOSPITALBED,2000,7.95
Austria,AUT,HOSPITALBED,2001,7.85
Austria,AUT,HOSPITALBED,2002,7.81
Austria,AUT,HOSPITALBED,2003,7.73
Austria,AUT,HOSPITALBED,2004,7.73
Austria,AUT,HOSPITALBED,2005,7.69
Austria,AUT,HOSPITALBED,2006,7.66
Austria,AUT,HOSPITALBED,2007,7.75
Austria,AUT,HOSPITALBED,2008,7.69
Austria,AUT,HOSPITALBED,2009,7.68
Austria,AUT,HOSPITALBED,2010,7.65
Austria,AUT,HOSPITALBED,2011,7.68
Austria,AUT,HOSPITALBED,2012,7.67
Austria,AUT,HOSPITALBED,2013,7.64
Austria,AUT,HOSPITALBED,2014,7.58
Austria,AUT,HOSPITALBED,2015,7.54
Austria,AUT,HOSPITALBED,2016,7.42
Austria,AUT,HOSPITALBED,2017,7.37
Austria,AUT,HOSPITALBED,2018,7.27
Austria,AUT,HOSPITALBED,2019,7.19
Austria,AUT,HOSPITALBED,2020,7.05
Austria,AUT,HOSPITALBED,2021,6.91
Belgium,BEL,HOSPITALBED,1991,7.5
Belgium,BEL,HOSPITALBED,1992,7.43
Belgium,BEL,HOSPITALBED,1993,7.36
Belgium,BEL,HOSPITALBED,1994,7.13
Belgium,BEL,HOSPITALBED,1995,7.05
Belgium,BEL,HOSPITALBED,1996,6.97
Belgium,BEL,HOSPITALBED,1997,6.92
Belgium,BEL,HOSPITALBED,1998,6.84
Belgium,BEL,HOSPITALBED,1999,6.79
Belgium,BEL,HOSPITALBED,2000,6.72
Belgium,BEL,HOSPITALBED,2001,6.62
Belgium,BEL,HOSPITALBED,2002,6.54
Belgium,BEL,HOSPITALBED,2003,6.53
Belgium,BEL,HOSPITALBED,2004,6.48
Belgium,BEL,HOSPITALBED,2005,6.44
Belgium,BEL,HOSPITALBED,2006,6.35
Belgium,BEL,HOSPITALBED,2007,6.27
Belgium,BEL,HOSPITALBED,2008,6.25
Belgium,BEL,HOSPITALBED,2009,6.15
Belgium,BEL,HOSPITALBED,2010,6.12
Belgium,BEL,HOSPITALBED,2011,6.05
Belgium,BEL,HOSPITALBED,2012,5.99
Belgium,BEL,HOSPITALBED,2013,5.93
Belgium,BEL,HOSPITALBED,2014,5.85
Belgium,BEL,HOSPITALBED,2015,5.83
Belgium,BEL,HOSPITALBED,2016,5.76
Belgium,BEL,HOSPITALBED,2017,5.66
Belgium,BEL,HOSPITALBED,2018,5.62
Belgium,BEL,HOSPITALBED,2019,5.57
Belgium,BEL,HOSPITALBED,2020,5.53
Belgium,BEL,HOSPITALBED,2021,5.49
Belgium,BEL,HOSPITALBED,2022,5.47
Canada,CAN,HOSPITALBED,1991,5.76
Canada,CAN,HOSPITALBED,1992,5.51
Canada,CAN,HOSPITALBED,1993,5.41
Canada,CAN,HOSPITALBED,1995,4.7
Canada,CAN,HOSPITALBED,1996,4.57
Canada,CAN,HOSPITALBED,1997,4.55
Canada,CAN,HOSPITALBED,1998,4.38
Canada,CAN,HOSPITALBED,1999,3.92
Canada,CAN,HOSPITALBED,2000,3.77
Canada,CAN,HOSPITALBED,2001,3.69
Canada,CAN,HOSPITALBED,2002,3.64
Canada,CAN,HOSPITALBED,2003,3.5
Canada,CAN,HOSPITALBED,2004,3.44
Canada,CAN,HOSPITALBED,2005,3.1
Canada,CAN,HOSPITALBED,2006,3.02
Canada,CAN,HOSPITALBED,2007,2.96
Canada,CAN,HOSPITALBED,2008,2.85
Canada,CAN,HOSPITALBED,2009,2.8
Canada,CAN,HOSPITALBED,2010,2.78
Canada,CAN,HOSPITALBED,2011,2.8
Canada,CAN,HOSPITALBED,2012,2.79
Canada,CAN,HOSPITALBED,2013,2.72
Canada,CAN,HOSPITALBED,2014,2.67
Canada,CAN,HOSPITALBED,2015,2.62
Canada,CAN,HOSPITALBED,2016,2.6
Canada,CAN,HOSPITALBED,2017,2.53
Canada,CAN,HOSPITALBED,2018,2.55
Canada,CAN,HOSPITALBED,2019,2.52
Canada,CAN,HOSPITALBED,2020,2.55
Canada,CAN,HOSPITALBED,2021,2.58
Czechia,CZE,HOSPITALBED,1995,8.5
Czechia,CZE,HOSPITALBED,1996,8.26
Czechia,CZE,HOSPITALBED,1997,8.04
Czechia,CZE,HOSPITALBED,1998,7.93
Czechia,CZE,HOSPITALBED,1999,7.74
Czechia,CZE,HOSPITALBED,2000,7.8
Czechia,CZE,HOSPITALBED,2001,7.77
Czechia,CZE,HOSPITALBED,2002,7.76
Czechia,CZE,HOSPITALBED,2003,7.73
Czechia,CZE,HOSPITALBED,2004,7.65
Czechia,CZE,HOSPITALBED,2005,7.57
Czechia,CZE,HOSPITALBED,2006,7.45
Czechia,CZE,HOSPITALBED,2007,7.33
Czechia,CZE,HOSPITALBED,2008,7.21
Czechia,CZE,HOSPITALBED,2009,7.14
Czechia,CZE,HOSPITALBED,2010,7.34
Czechia,CZE,HOSPITALBED,2011,7.11
Czechia,CZE,HOSPITALBED,2012,6.97
Czechia,CZE,HOSPITALBED,2013,6.75
Czechia,CZE,HOSPITALBED,2014,6.72
Czechia,CZE,HOSPITALBED,2015,6.71
Czechia,CZE,HOSPITALBED,2016,6.71
Czechia,CZE,HOSPITALBED,2017,6.67
Czechia,CZE,HOSPITALBED,2018,6.66
Czechia,CZE,HOSPITALBED,2019,6.63
Czechia,CZE,HOSPITALBED,2020,6.54
Czechia,CZE,HOSPITALBED,2021,6.66
Denmark,DNK,HOSPITALBED,1997,4.64
Denmark,DNK,HOSPITALBED,1998,4.54
Denmark,DNK,HOSPITALBED,1999,4.39
Denmark,DNK,HOSPITALBED,2000,4.29
Denmark,DNK,HOSPITALBED,2001,4.22
Denmark,DNK,HOSPITALBED,2002,4.29
Denmark,DNK,HOSPITALBED,2003,4.13
Denmark,DNK,HOSPITALBED,2004,3.97
Denmark,DNK,HOSPITALBED,2005,3.86
Denmark,DNK,HOSPITALBED,2006,3.79
Denmark,DNK,HOSPITALBED,2007,3.69
Denmark,DNK,HOSPITALBED,2008,3.57
Denmark,DNK,HOSPITALBED,2009,3.49
Denmark,DNK,HOSPITALBED,2010,3.5
Denmark,DNK,HOSPITALBED,2011,3.13
Denmark,DNK,HOSPITALBED,2013,3.07
Denmark,DNK,HOSPITALBED,2016,2.6
Denmark,DNK,HOSPITALBED,2017,2.61
Denmark,DNK,HOSPITALBED,2018,2.61
Denmark,DNK,HOSPITALBED,2019,2.59
Denmark,DNK,HOSPITALBED,2020,2.59
Denmark,DNK,HOSPITALBED,2021,2.51
Finland,FIN,HOSPITALBED,1993,8.25
Finland,FIN,HOSPITALBED,1994,8.19
Finland,FIN,HOSPITALBED,1995,8.12
Finland,FIN,HOSPITALBED,1996,8.12
Finland,FIN,HOSPITALBED,1997,7.9
Finland,FIN,HOSPITALBED,1998,7.77
Finland,FIN,HOSPITALBED,1999,7.61
Finland,FIN,HOSPITALBED,2000,7.54
Finland,FIN,HOSPITALBED,2001,7.46
Finland,FIN,HOSPITALBED,2002,7.35
Finland,FIN,HOSPITALBED,2003,7.24
Finland,FIN,HOSPITALBED,2004,7.1
Finland,FIN,HOSPITALBED,2005,7.05
Finland,FIN,HOSPITALBED,2006,6.99
Finland,FIN,HOSPITALBED,2007,6.73
Finland,FIN,HOSPITALBED,2008,6.57
Finland,FIN,HOSPITALBED,2009,6.25
Finland,FIN,HOSPITALBED,2010,5.86
Finland,FIN,HOSPITALBED,2011,5.53
Finland,FIN,HOSPITALBED,2012,5.29
Finland,FIN,HOSPITALBED,2013,4.86
Finland,FIN,HOSPITALBED,2014,4.53
Finland,FIN,HOSPITALBED,2015,4.28
Finland,FIN,HOSPITALBED,2016,3.97
Finland,FIN,HOSPITALBED,2017,3.75
