"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.66278428165279","5.80233228788717","5.40584527901837","5.99034855338581","6.09752461853492","5.93517471655373","5.92577536855663","5.93941518838894","5.86404360614057","6.39672457478692","6.42042465167682","6.32722848873114","6.15246595409235","6.20676639621933","5.84442821971323","6.13765851070291","6.05368098677759","5.95094960674184","5.81668423008718","5.80106686012428","5.86295435330642","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339085","8.94125843","9.80847359","9.94828892","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190777","7.89716864","8.80596447","9.52887821","10.10534763","11.81859016","12.62081718","14.20841891","14.8313194","15.53361392","16.82606226","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75845031601444","3.75479404047616","3.36889899214261","4.65032112189575","4.45842803407979","4.25754977415435","4.12355171289928","3.89357547396629","3.71997432675969","3.76981608726823","3.50805383245706","3.53843100622549","3.49743654970278","3.61331551713385","3.59535123437358","3.81980504383655","3.80638734102677","3.78006150459256","3.39354958133446","3.34485760556784","3.83483317961402","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96719909","2.85219526","2.68553543","2.97439122","3.32290339","3.84260798","2.69509959","2.64560771","2.39574957","2.73282695","2.43412876","2.60579467","2.71314979","2.79383755","2.58879566","2.65592647","2.91183472","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94418573","5.92583275","5.6645999","6.19891882","6.0557785","5.83303022","5.6859889","5.70842791","5.50962448","5.7276206","6.23899555","6.11952829","6.09262609","6.27234411","6.44164276","6.48361206","6.66606188","6.54604626","6.65958786","","","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95210266","5.85757971","5.99556017","5.54707241","5.2878232","5.59412527","4.96465921","4.92283344","5.6700263","6.08030987","7.87839746","7.70434046","6.74644995","6.83291245","6.82586813","7.02324152","7.00839424","7.16179609","7.43045759","7.40840626","9.05175877","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01400183636913","4.2975093731745","4.30538018974278","4.13074712807629","3.81998651358633","3.51162629835566","3.48220222603145","3.57527070356487","3.40802370490159","4.30101601680053","3.91060436319609","3.90419154485126","3.98192638639505","4.24060784516927","4.58347245432555","5.17255589641849","5.24913964711485","5.35063719137747","4.98689960345546","4.83436208064177","5.31635675592938","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413526","2.48437047","2.71770859","2.64634395","2.46204329","2.32019687","2.3254137","2.56569624","2.92847514","4.04999304","3.87873054","3.67006993","3.4251945","3.59299517","3.63020706","3.58359146","3.4660213","4.05960608","4.14547014","4.29904938","5.67226824","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.22001076","8.37179852","7.3933115","6.89451647","7.22868252","7.61078882","7.64032793","7.83455086","8.1826973","9.45599556","9.44546413","9.41819859","9.82726669","9.78097916","9.67129993","10.22933674","9.00189781","10.44225693","9.49909592","9.47170544","9.98438072","","",
