"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1971",212.545,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1972",226.524,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1973",251.085,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1974",306.927,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1975",374.393,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1976",406.043,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1977",450.142,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1978",483.297,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1979",526.757,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1980",592.397,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1981",668.212,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1982",705.505,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1983",757.41,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1984",803.836,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1985",855.498,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1986",904.542,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1987",952.647,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1988",1027.927,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1989",1097.364,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1990",1166.26,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1991",1234.372,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1992",1305.536,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1993",1373.205,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1994",1454.566,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1995",1537.471,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1996",1642.967,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1997",1727.783,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1998",1839.209,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1999",1956.897,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2153.292,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2290.69,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2481.046,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2578.709,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2818.137,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2872.44,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",2996.396,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3199.837,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3350.144,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3417.833,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3593.395,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4087.849,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4556.492,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4776.158,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",5037.266,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",5074.653,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5190.886,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5126.653,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2020",5692.402,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2021",6225.535,"E"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2022",6372.027,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","1970",173.391,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1971",189.271,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1972",209.236,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1973",237.846,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1974",283.17,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1975",387.066,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1976",439.489,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1977",486.171,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1978",545.92,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1979",624.629,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1980",710.874,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1981",659.718,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1982",704.081,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1983",736.373,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1984",770.301,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1985",828.948,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1986",889.349,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1987",982.732,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1988",1051.142,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1989",1162.766,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1990",1482.281,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","1991",1585.776,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1992",1706.858,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1993",1849.904,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1994",2017.289,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1995",2086.13,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1996",2160.519,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1997",2265.214,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1998",2428.152,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1999",2569.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2803.905,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2859.074,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",3101.021,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3198.001,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3410.974,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3475.868,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3634.95,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3795.642,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2008",4009.307,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2009",4090.209,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4258.99,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4345.158,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4588.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4767.083,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.332,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4943.516,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.532,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5315.355,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5518.538,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5625.442,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5863.664,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2021",6690.093,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2022",7275.354,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1970",149.573,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1971",164.899,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1972",186.303,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1973",224.438,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1974",257.393,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1975",335.34,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1976",384.687,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1977",446.148,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1978",502.708,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1979",562.939,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1980",592.436,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1981",668.863,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1982",741.748,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1983",786.153,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1984",813.539,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1985",865.865,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1986",944.824,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1987",1009.692,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1988",1111.783,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1989",1203.71,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1990",1301.908,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1991",1421.009,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1992",1525.716,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1993",1583.708,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1994",1621.74,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1995",1670.748,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1996",1768.091,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1997",1814.866,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1998",1881.66,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1999",2011.684,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2298.186,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2001",2404.214,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2002",2644.145,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2003",2902.776,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2004",3086.204,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2005",3104.173,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2006",3195.361,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2007",3307.577,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2008",3545.086,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2009",3711.279,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2010",3908.473,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2011",4053.883,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2012",4242.107,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2013",4442.347,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4594.716,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4817.917,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",5013.354,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5143.526,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5350.974,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5423.676,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2020",5509.054,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2021",6022.253,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2022",6599.981,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","1970",273.226,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1971",313.391,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1972",338.222,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1973",366.733,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1974",420.196,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1975",487.497,"B"
"CAN","HEALTHEXP","TOT","USD_CAP","A","1976",543.337,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1977",580.808,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1978",624.796,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1979",692.269,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1980",791.812,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1981",898.807,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1982",996.086,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1983",1066.746,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1984",1135.02,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1985",1212.85,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1986",1278.816,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1987",1357.453,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1988",1461.3,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1989",1579.543,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1990",1699.774,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1991",1805.209,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1992",1897.456,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1993",1930.889,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1994",1962.196,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1995",1984.944,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1996",1999.778,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1997",2091.997,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1998",2200.468,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1999",2278.254,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2000",2450.593,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2001",2624.293,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2002",2758.065,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2003",2914.206,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2004",3122.396,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2005",3291.912,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2006",3486.621,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2007",3709.615,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2008",3849.544,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2009",3924.952,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4145.628,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4217.457,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4334.182,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4427.499,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4536.627,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4633.159,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",5043.699,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",5171.553,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",5337.4,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5222.644,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2020",5879.075,"D"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2021",6277.503,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2022",6319.038,
