"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALBED","TOT","1000HAB","A","1991",4.92,
"AUS","HOSPITALBED","TOT","1000HAB","A","1992",4.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1993",4.68,
"AUS","HOSPITALBED","TOT","1000HAB","A","1994",4.59,
"AUS","HOSPITALBED","TOT","1000HAB","A","1995",4.58,
"AUS","HOSPITALBED","TOT","1000HAB","A","1996",4.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1997",4.28,
"AUS","HOSPITALBED","TOT","1000HAB","A","1998",4.17,
"AUS","HOSPITALBED","TOT","1000HAB","A","1999",4.07,
"AUS","HOSPITALBED","TOT","1000HAB","A","2000",4.04,
"AUS","HOSPITALBED","TOT","1000HAB","A","2001",3.95,
"AUS","HOSPITALBED","TOT","1000HAB","A","2002",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2003",3.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","2004",4,
"AUS","HOSPITALBED","TOT","1000HAB","A","2005",3.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","2006",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2008",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2009",3.77,
"AUS","HOSPITALBED","TOT","1000HAB","A","2010",3.78,
"AUS","HOSPITALBED","TOT","1000HAB","A","2011",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2012",3.75,"E"
"AUS","HOSPITALBED","TOT","1000HAB","A","2013",3.74,
"AUS","HOSPITALBED","TOT","1000HAB","A","2014",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2015",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2016",3.84,
"AUT","HOSPITALBED","TOT","1000HAB","A","1991",9.05,
"AUT","HOSPITALBED","TOT","1000HAB","A","1992",8.83,
"AUT","HOSPITALBED","TOT","1000HAB","A","1993",8.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","1994",8.6,
"AUT","HOSPITALBED","TOT","1000HAB","A","1995",8.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","1996",8.44,
"AUT","HOSPITALBED","TOT","1000HAB","A","1997",8.34,
"AUT","HOSPITALBED","TOT","1000HAB","A","1998",8.2,
"AUT","HOSPITALBED","TOT","1000HAB","A","1999",8.09,
"AUT","HOSPITALBED","TOT","1000HAB","A","2000",7.95,
"AUT","HOSPITALBED","TOT","1000HAB","A","2001",7.85,
"AUT","HOSPITALBED","TOT","1000HAB","A","2002",7.81,
"AUT","HOSPITALBED","TOT","1000HAB","A","2003",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2004",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2005",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2006",7.66,
"AUT","HOSPITALBED","TOT","1000HAB","A","2007",7.75,
"AUT","HOSPITALBED","TOT","1000HAB","A","2008",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2009",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2010",7.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","2011",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2012",7.67,
"AUT","HOSPITALBED","TOT","1000HAB","A","2013",7.64,
"AUT","HOSPITALBED","TOT","1000HAB","A","2014",7.58,
"AUT","HOSPITALBED","TOT","1000HAB","A","2015",7.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","2016",7.42,
"AUT","HOSPITALBED","TOT","1000HAB","A","2017",7.37,
"AUT","HOSPITALBED","TOT","1000HAB","A","2018",7.27,
"AUT","HOSPITALBED","TOT","1000HAB","A","2019",7.19,
"AUT","HOSPITALBED","TOT","1000HAB","A","2020",7.05,
"AUT","HOSPITALBED","TOT","1000HAB","A","2021",6.91,
"BEL","HOSPITALBED","TOT","1000HAB","A","1991",7.5,
"BEL","HOSPITALBED","TOT","1000HAB","A","1992",7.43,
"BEL","HOSPITALBED","TOT","1000HAB","A","1993",7.36,
"BEL","HOSPITALBED","TOT","1000HAB","A","1994",7.13,"B"
"BEL","HOSPITALBED","TOT","1000HAB","A","1995",7.05,
"BEL","HOSPITALBED","TOT","1000HAB","A","1996",6.97,
"BEL","HOSPITALBED","TOT","1000HAB","A","1997",6.92,
"BEL","HOSPITALBED","TOT","1000HAB","A","1998",6.84,
"BEL","HOSPITALBED","TOT","1000HAB","A","1999",6.79,
"BEL","HOSPITALBED","TOT","1000HAB","A","2000",6.72,
"BEL","HOSPITALBED","TOT","1000HAB","A","2001",6.62,
"BEL","HOSPITALBED","TOT","1000HAB","A","2002",6.54,
"BEL","HOSPITALBED","TOT","1000HAB","A","2003",6.53,
"BEL","HOSPITALBED","TOT","1000HAB","A","2004",6.48,
"BEL","HOSPITALBED","TOT","1000HAB","A","2005",6.44,
"BEL","HOSPITALBED","TOT","1000HAB","A","2006",6.35,
"BEL","HOSPITALBED","TOT","1000HAB","A","2007",6.27,
