"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","1964",43,
"AUS","SMOKERS","TOT","PC_POP15","A","1966",40,
"AUS","SMOKERS","TOT","PC_POP15","A","1969",37,
"AUS","SMOKERS","TOT","PC_POP15","A","1974",37.8,
"AUS","SMOKERS","TOT","PC_POP15","A","1976",38.4,
"AUS","SMOKERS","TOT","PC_POP15","A","1980",36,
"AUS","SMOKERS","TOT","PC_POP15","A","1983",35.4,
"AUS","SMOKERS","TOT","PC_POP15","A","1986",30.6,
"AUS","SMOKERS","TOT","PC_POP15","A","1989",28.6,
"AUS","SMOKERS","TOT","PC_POP15","A","1992",26,
"AUS","SMOKERS","TOT","PC_POP15","A","1995",24.1,
"AUS","SMOKERS","TOT","PC_POP15","A","1998",22.1,
"AUS","SMOKERS","TOT","PC_POP15","A","2001",19.6,
"AUS","SMOKERS","TOT","PC_POP15","A","2004",17.8,
"AUS","SMOKERS","TOT","PC_POP15","A","2007",16.9,
"AUS","SMOKERS","TOT","PC_POP15","A","2010",15.3,
"AUS","SMOKERS","TOT","PC_POP15","A","2013",13,
"AUS","SMOKERS","TOT","PC_POP15","A","2016",12.4,
"AUS","SMOKERS","TOT","PC_POP15","A","2019",11.2,
"AUT","SMOKERS","TOT","PC_POP15","A","1972",22.9,
"AUT","SMOKERS","TOT","PC_POP15","A","1979",23.5,
"AUT","SMOKERS","TOT","PC_POP15","A","1986",25.5,
"AUT","SMOKERS","TOT","PC_POP15","A","1997",24.3,
"AUT","SMOKERS","TOT","PC_POP15","A","2006",23.2,
"AUT","SMOKERS","TOT","PC_POP15","A","2014",24.3,
"AUT","SMOKERS","TOT","PC_POP15","A","2019",20.6,
"BEL","SMOKERS","TOT","PC_POP15","A","1997",25.5,
"BEL","SMOKERS","TOT","PC_POP15","A","2001",24.1,
"BEL","SMOKERS","TOT","PC_POP15","A","2004",23.7,
"BEL","SMOKERS","TOT","PC_POP15","A","2008",20.5,
"BEL","SMOKERS","TOT","PC_POP15","A","2013",18.9,
"BEL","SMOKERS","TOT","PC_POP15","A","2018",15.4,
"CAN","SMOKERS","TOT","PC_POP15","A","1964",42,
"CAN","SMOKERS","TOT","PC_POP15","A","1965",42.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1966",42.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1967",42,
"CAN","SMOKERS","TOT","PC_POP15","A","1968",41,
"CAN","SMOKERS","TOT","PC_POP15","A","1969",40,
"CAN","SMOKERS","TOT","PC_POP15","A","1970",39.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1971",39.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1972",39,
"CAN","SMOKERS","TOT","PC_POP15","A","1979",34.4,
"CAN","SMOKERS","TOT","PC_POP15","A","1981",32.8,
"CAN","SMOKERS","TOT","PC_POP15","A","1983",31.2,
"CAN","SMOKERS","TOT","PC_POP15","A","1985",30.4,
"CAN","SMOKERS","TOT","PC_POP15","A","1986",28.3,
"CAN","SMOKERS","TOT","PC_POP15","A","1988",30.8,
"CAN","SMOKERS","TOT","PC_POP15","A","1989",31,
"CAN","SMOKERS","TOT","PC_POP15","A","1990",28.2,
"CAN","SMOKERS","TOT","PC_POP15","A","1991",25.9,
"CAN","SMOKERS","TOT","PC_POP15","A","1994",25.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1996",24.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1998",23.8,
"CAN","SMOKERS","TOT","PC_POP15","A","2001",22.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2003",18.7,
"CAN","SMOKERS","TOT","PC_POP15","A","2005",17.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2007",18.2,
"CAN","SMOKERS","TOT","PC_POP15","A","2008",17.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2009",16.2,
"CAN","SMOKERS","TOT","PC_POP15","A","2010",16.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2011",15.7,
"CAN","SMOKERS","TOT","PC_POP15","A","2012",16.1,
"CAN","SMOKERS","TOT","PC_POP15","A","2013",14.9,
"CAN","SMOKERS","TOT","PC_POP15","A","2014",14,
"CAN","SMOKERS","TOT","PC_POP15","A","2015",13.1,"B"
"CAN","SMOKERS","TOT","PC_POP15","A","2016",12.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2017",12,
"CAN","SMOKERS","TOT","PC_POP15","A","2018",11.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2019",10.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2020",9.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2021",8.7,
"CZE","SMOKERS","TOT","PC_POP15","A","1993",26.1,
"CZE","SMOKERS","TOT","PC_POP15","A","1996",26.2,
"CZE","SMOKERS","TOT","PC_POP15","A","1999",23.5,
"CZE","SMOKERS","TOT","PC_POP15","A","2002",24.1,
"CZE","SMOKERS","TOT","PC_POP15","A","2003",27.2,"B"
"CZE","SMOKERS","TOT","PC_POP15","A","2004",25.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2005",24.3,
"CZE","SMOKERS","TOT","PC_POP15","A","2006",23.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2007",24,
"CZE","SMOKERS","TOT","PC_POP15","A","2008",21.8,
